benchmark,category,family,level,compile_ns,object_open_ns,object_load_ns,recompile_syscall_ns,policy_bytes,recompile_total_sites,xlated_prog_len,jited_prog_len
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,8901692,1745709,7126052,29931,296,2,2136,1076
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,8622785,1458103,7135893,28789,296,2,2136,1076
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,9527773,2376402,7122100,29271,296,2,2136,1076
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,8927300,1813295,7084843,29162,296,2,2136,1076
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,8789460,1669623,7089275,30562,296,2,2136,1076
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,9141243,2026564,7084575,30104,296,2,2136,1076
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,8868942,1754225,7085086,29631,296,2,2136,1076
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,9468723,2329078,7109805,29840,296,2,2136,1076
large_mixed_500,program-scale,large-mixed,approx-500,8645299,2136179,6460660,48460,644,3,4384,2128
large_mixed_500,program-scale,large-mixed,approx-500,8851627,2332050,6470079,49498,644,3,4384,2128
large_mixed_500,program-scale,large-mixed,approx-500,9547907,3010247,6488969,48691,644,3,4384,2128
large_mixed_500,program-scale,large-mixed,approx-500,8625632,2120547,6456223,48862,644,3,4384,2128
large_mixed_500,program-scale,large-mixed,approx-500,8381527,1886921,6444908,49698,644,3,4384,2128
large_mixed_500,program-scale,large-mixed,approx-500,8781264,2292038,6440655,48571,644,3,4384,2128
large_mixed_500,program-scale,large-mixed,approx-500,8316684,1783371,6485534,47779,644,3,4384,2128
large_mixed_500,program-scale,large-mixed,approx-500,8648832,2128960,6472246,47626,644,3,4384,2128
large_mixed_500,program-scale,large-mixed,approx-500,8128128,1640762,6438516,48850,644,3,4384,2128
large_mixed_500,program-scale,large-mixed,approx-500,7911728,1303883,6557222,50623,644,3,4384,2128
bpf_call_chain,call-overhead,bpf-local-call,chain-3,5083708,3292884,1757597,33227,312,2,1720,902
bpf_call_chain,call-overhead,bpf-local-call,chain-3,4476173,2714336,1728216,33621,312,2,1720,902
bpf_call_chain,call-overhead,bpf-local-call,chain-3,4959274,3612870,1317907,28497,312,2,1720,902
bpf_call_chain,call-overhead,bpf-local-call,chain-3,3378722,2012386,1333073,33263,312,2,1720,902
bpf_call_chain,call-overhead,bpf-local-call,chain-3,4717152,3371476,1318187,27489,312,2,1720,902
bpf_call_chain,call-overhead,bpf-local-call,chain-3,4102792,2688335,1386517,27940,312,2,1720,902
bpf_call_chain,call-overhead,bpf-local-call,chain-3,3934442,2599000,1304098,31344,312,2,1720,902
bpf_call_chain,call-overhead,bpf-local-call,chain-3,4312423,2893952,1390694,27777,312,2,1720,902
bpf_call_chain,call-overhead,bpf-local-call,chain-3,4595779,3257835,1310639,27305,312,2,1720,902
bpf_call_chain,call-overhead,bpf-local-call,chain-3,4787408,3342819,1415871,28718,312,2,1720,902
memcmp_prefix_64,memory-local,byte-compare,prefix-64,2741609,2060114,659751,21744,548,3,1112,545
memcmp_prefix_64,memory-local,byte-compare,prefix-64,2545040,1860746,663255,21039,548,3,1112,545
memcmp_prefix_64,memory-local,byte-compare,prefix-64,2872450,2150980,699433,22037,548,3,1112,545
memcmp_prefix_64,memory-local,byte-compare,prefix-64,2081254,1393780,666902,20572,548,3,1112,545
memcmp_prefix_64,memory-local,byte-compare,prefix-64,2857110,2168295,667041,21774,548,3,1112,545
memcmp_prefix_64,memory-local,byte-compare,prefix-64,3152402,2247578,879063,25761,548,3,1112,545
memcmp_prefix_64,memory-local,byte-compare,prefix-64,2863785,1951349,886173,26263,548,3,1112,545
memcmp_prefix_64,memory-local,byte-compare,prefix-64,3121038,2194909,892225,33904,548,3,1112,545
memcmp_prefix_64,memory-local,byte-compare,prefix-64,3200258,2288258,885571,26429,548,3,1112,545
memcmp_prefix_64,memory-local,byte-compare,prefix-64,2956355,2043343,886789,26223,548,3,1112,545
