group	compare_to	benchmark	runtime	families	relocations	rep1_ratio	rep2_ratio	rep3_ratio	median_ratio	min_ratio	max_ratio	faster_reps	slower_reps	equal_reps	direction
baseline	control-disabled	bpftrace_string_search_prefix_scan	kernel			1.000000000	1.000000000	1.021194605	1.000000000	1.000000000	1.021194605	0	1	2	mixed
baseline	control-disabled	bpftrace_string_search_prefix_scan	native			1.005665722	1.011331445	1.048022599	1.011331445	1.005665722	1.048022599	0	3	0	all_slower
baseline	control-disabled	ccmp_all_nonzero	kernel			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	ccmp_all_nonzero	native			0.833333333	1.000000000	1.000000000	1.000000000	0.833333333	1.000000000	1	0	2	mixed
baseline	control-disabled	cgroup_skb_hash_chain	kernel			0.963821892	0.993314231	1.000962464	0.993314231	0.963821892	1.000962464	2	1	0	mixed
baseline	control-disabled	cgroup_skb_hash_chain	native			0.976798144	0.935555556	1.000000000	0.976798144	0.935555556	1.000000000	2	0	1	mixed
baseline	control-disabled	cilium_ct_nat_tuple_rewrite	kernel			1.023157895	1.000000000	0.997903564	1.000000000	0.997903564	1.023157895	1	1	1	mixed
baseline	control-disabled	cilium_ct_nat_tuple_rewrite	native			1.055837563	1.005076142	1.025252525	1.025252525	1.005076142	1.055837563	0	3	0	all_slower
baseline	control-disabled	cilium_policy_guard_tree_filter	kernel			1.000000000	0.991803279	0.995983936	0.995983936	0.991803279	1.000000000	2	0	1	mixed
baseline	control-disabled	cilium_policy_guard_tree_filter	native			1.008130081	1.008196721	1.032258065	1.008196721	1.008130081	1.032258065	0	3	0	all_slower
baseline	control-disabled	cilium_socket_lb_service_select	kernel			1.106244175	1.133782483	1.137198068	1.133782483	1.106244175	1.137198068	0	3	0	all_slower
baseline	control-disabled	cilium_socket_lb_service_select	native			1.003039514	1.000000000	1.009118541	1.003039514	1.000000000	1.009118541	0	2	1	mixed
baseline	control-disabled	csel_select64	kernel			0.965517241	1.000000000	1.000000000	1.000000000	0.965517241	1.000000000	1	0	2	mixed
baseline	control-disabled	csel_select64	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	flow_5tuple_rss_hash	kernel			1.000000000	1.000000000	1.041666667	1.000000000	1.000000000	1.041666667	0	1	2	mixed
baseline	control-disabled	flow_5tuple_rss_hash	native			1.000000000	1.000000000	1.055555556	1.000000000	1.000000000	1.055555556	0	1	2	mixed
baseline	control-disabled	flow_record_field_scan	kernel			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	flow_record_field_scan	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	katran_lb_consistent_hash_select	kernel			1.000000000	1.000000000	1.016393443	1.000000000	1.000000000	1.016393443	0	1	2	mixed
baseline	control-disabled	katran_lb_consistent_hash_select	native			1.074074074	1.037037037	1.000000000	1.037037037	1.000000000	1.074074074	0	2	1	mixed
baseline	control-disabled	ldp_stack_pair	kernel			1.000000000	1.000000000	0.952380952	1.000000000	0.952380952	1.000000000	1	0	2	mixed
baseline	control-disabled	ldp_stack_pair	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	otel_stack_frame_unwind_scan	kernel			1.044619423	0.997382199	1.041994751	1.041994751	0.997382199	1.044619423	1	2	0	mixed
baseline	control-disabled	otel_stack_frame_unwind_scan	native			1.068965517	1.008620690	1.059829060	1.059829060	1.008620690	1.068965517	0	3	0	all_slower
baseline	control-disabled	packed_header_bitfield_decode	kernel			1.001068376	1.000000000	0.997870075	1.000000000	0.997870075	1.001068376	1	1	1	mixed
baseline	control-disabled	packed_header_bitfield_decode	native			0.996015936	0.998007968	1.117296223	0.998007968	0.996015936	1.117296223	2	1	0	mixed
baseline	control-disabled	packet_checksum_fold	kernel			0.996501809	0.999727776	1.001725495	0.999727776	0.996501809	1.001725495	2	1	0	mixed
baseline	control-disabled	packet_checksum_fold	native			0.993105287	1.078718430	1.001342436	1.001342436	0.993105287	1.078718430	1	2	0	mixed
baseline	control-disabled	packet_record_bounds_window	kernel			1.008746356	1.002923977	1.017441860	1.008746356	1.002923977	1.017441860	0	3	0	all_slower
baseline	control-disabled	packet_record_bounds_window	native			1.135135135	1.000000000	1.067114094	1.067114094	1.000000000	1.135135135	0	2	1	mixed
baseline	control-disabled	packet_toeplitz_rss_hash	kernel			1.010548523	1.089958159	1.019120459	1.019120459	1.010548523	1.089958159	0	3	0	all_slower
baseline	control-disabled	packet_toeplitz_rss_hash	native			1.000000000	0.997333333	1.007936508	1.000000000	0.997333333	1.007936508	1	1	1	mixed
baseline	control-disabled	packet_vlan_tcpopt_parser	kernel			1.000000000	1.000000000	1.022222222	1.000000000	1.000000000	1.022222222	0	1	2	mixed
baseline	control-disabled	packet_vlan_tcpopt_parser	native			0.947368421	1.000000000	1.052631579	1.000000000	0.947368421	1.052631579	1	1	1	mixed
baseline	control-disabled	payload_prefix_memcmp_scan	kernel			1.010489510	1.024475524	1.027777778	1.024475524	1.010489510	1.027777778	0	3	0	all_slower
baseline	control-disabled	payload_prefix_memcmp_scan	native			1.011834320	1.000000000	1.023809524	1.011834320	1.000000000	1.023809524	0	2	1	mixed
baseline	control-disabled	simple	kernel			1.000000000	0.937500000	0.933333333	0.937500000	0.933333333	1.000000000	2	0	1	mixed
baseline	control-disabled	simple	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	simple_packet	kernel			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	simple_packet	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	siphash_rotate64_mixer	kernel			1.000000000	0.987654321	1.006250000	1.000000000	0.987654321	1.006250000	1	1	1	mixed
baseline	control-disabled	siphash_rotate64_mixer	native			1.000000000	0.977777778	1.113636364	1.000000000	0.977777778	1.113636364	1	1	1	mixed
baseline	control-disabled	sorted_rule_binary_search	kernel			1.000000000	1.004651163	0.995882656	1.000000000	0.995882656	1.004651163	1	1	1	mixed
baseline	control-disabled	sorted_rule_binary_search	native			1.012517385	1.004172462	0.998609179	1.004172462	0.998609179	1.012517385	1	2	0	mixed
baseline	control-disabled	stp_stack_pair	kernel			0.952380952	1.000000000	1.000000000	1.000000000	0.952380952	1.000000000	1	0	2	mixed
baseline	control-disabled	stp_stack_pair	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	tc_packet_checksum_fold	kernel			0.997915093	0.989219620	1.000211935	0.997915093	0.989219620	1.000211935	2	1	0	mixed
baseline	control-disabled	tc_packet_checksum_fold	native			0.977704500	0.989458117	1.006859552	0.989458117	0.977704500	1.006859552	2	1	0	mixed
baseline	control-disabled	tetragon_process_event_arg_filter	kernel			1.022770398	1.019083969	1.005714286	1.019083969	1.005714286	1.022770398	0	3	0	all_slower
baseline	control-disabled	tetragon_process_event_arg_filter	native			0.971929825	1.000000000	1.000000000	1.000000000	0.971929825	1.000000000	1	0	2	mixed
baseline	control-disabled	trace_event_type_switch_dispatch	kernel			0.932157395	0.994452150	0.988372093	0.988372093	0.932157395	0.994452150	3	0	0	all_faster
baseline	control-disabled	trace_event_type_switch_dispatch	native			0.998422713	0.998425197	0.973846154	0.998422713	0.973846154	0.998425197	3	0	0	all_faster
baseline	control-disabled	tracee_http_method_prefix_detect	kernel			1.083333333	0.794871795	1.000000000	1.000000000	0.794871795	1.083333333	1	1	1	mixed
baseline	control-disabled	tracee_http_method_prefix_detect	native			1.078947368	1.000000000	1.026315789	1.026315789	1.000000000	1.078947368	0	2	1	mixed
baseline	control-disabled	tracee_syscall_name_table_lookup	kernel			0.939481268	0.971751412	0.988023952	0.971751412	0.939481268	0.988023952	3	0	0	all_faster
baseline	control-disabled	tracee_syscall_name_table_lookup	native			0.988549618	0.984790875	1.000000000	0.988549618	0.984790875	1.000000000	2	0	1	mixed
candidate-conservative	control-disabled	arm64_direct_abi_coverage	kernel	EXTR,LDR	EXTR:1,LDR:4	0.950000000	0.950000000	0.950000000	0.950000000	0.950000000	0.950000000	3	0	0	all_faster
candidate-conservative	control-disabled	arm64_direct_abi_coverage	native	EXTR,LDR	EXTR:1,LDR:4	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	bcc_runqlat_log2_histogram_bucket	kernel	LDR	LDR:2	1.021722846	1.001247816	0.993280239	1.001247816	0.993280239	1.021722846	1	2	0	mixed
candidate-conservative	control-disabled	bcc_runqlat_log2_histogram_bucket	native	LDR	LDR:2	1.032054176	1.001351351	1.000000000	1.001351351	1.000000000	1.032054176	0	2	1	mixed
candidate-conservative	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	kernel	EXTR,LDR	EXTR:1,LDR:2	0.984326019	0.981250000	0.984326019	0.984326019	0.981250000	0.984326019	3	0	0	all_faster
candidate-conservative	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	native	EXTR,LDR	EXTR:1,LDR:2	0.993333333	1.086666667	1.000000000	1.000000000	0.993333333	1.086666667	1	1	1	mixed
candidate-conservative	control-disabled	bitmap_popcount_scan	kernel	LDR	LDR:2	1.006121557	1.006555944	0.992184108	1.006121557	0.992184108	1.006555944	1	2	0	mixed
candidate-conservative	control-disabled	bitmap_popcount_scan	native	LDR	LDR:2	0.998142415	1.000000000	1.000000000	1.000000000	0.998142415	1.000000000	1	0	2	mixed
candidate-conservative	control-disabled	bpf_local_call_fanout_dispatch	kernel	LDR	LDR:3	0.929230769	0.904477612	1.009230769	0.929230769	0.904477612	1.009230769	2	1	0	mixed
candidate-conservative	control-disabled	bpf_local_call_fanout_dispatch	native	LDR	LDR:3	1.000000000	1.000000000	1.008771930	1.000000000	1.000000000	1.008771930	0	1	2	mixed
candidate-conservative	control-disabled	bpftrace_comm_key_fnv_hash	kernel	LDR	LDR:2	0.998792271	1.015087508	1.000000000	1.000000000	0.998792271	1.015087508	1	1	1	mixed
candidate-conservative	control-disabled	bpftrace_comm_key_fnv_hash	native	LDR	LDR:2	1.000000000	1.018619085	1.000777605	1.000777605	1.000000000	1.018619085	0	2	1	mixed
candidate-conservative	control-disabled	bpftrace_string_search_prefix_scan	kernel	EXTR,LDR	EXTR:1,LDR:1	1.029013540	1.041015625	1.025048170	1.029013540	1.025048170	1.041015625	0	3	0	all_slower
candidate-conservative	control-disabled	bpftrace_string_search_prefix_scan	native	EXTR,LDR	EXTR:1,LDR:1	1.000000000	1.002832861	1.016949153	1.002832861	1.000000000	1.016949153	0	2	1	mixed
candidate-conservative	control-disabled	ccmp_all_nonzero	kernel			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	ccmp_all_nonzero	native			0.833333333	1.000000000	1.000000000	1.000000000	0.833333333	1.000000000	1	0	2	mixed
candidate-conservative	control-disabled	cgroup_skb_hash_chain	kernel	LDR	LDR:2	1.024118738	0.990448902	1.000000000	1.000000000	0.990448902	1.024118738	1	1	1	mixed
candidate-conservative	control-disabled	cgroup_skb_hash_chain	native	LDR	LDR:2	1.034802784	0.935555556	1.000000000	1.000000000	0.935555556	1.034802784	1	1	1	mixed
candidate-conservative	control-disabled	cilium_ct_nat_tuple_rewrite	kernel	EXTR,LDR	EXTR:1,LDR:2	0.953684211	0.953684211	0.951781971	0.953684211	0.951781971	0.953684211	3	0	0	all_faster
candidate-conservative	control-disabled	cilium_ct_nat_tuple_rewrite	native	EXTR,LDR	EXTR:1,LDR:2	1.000000000	1.005076142	1.005050505	1.005050505	1.000000000	1.005076142	0	2	1	mixed
candidate-conservative	control-disabled	cilium_policy_guard_tree_filter	kernel	LDR	LDR:1	1.000000000	1.000000000	0.975903614	1.000000000	0.975903614	1.000000000	1	0	2	mixed
candidate-conservative	control-disabled	cilium_policy_guard_tree_filter	native	LDR	LDR:1	1.008130081	1.008196721	0.991935484	1.008130081	0.991935484	1.008196721	1	2	0	mixed
candidate-conservative	control-disabled	cilium_socket_lb_service_select	kernel	LDR	LDR:2	0.962721342	0.994225217	1.000966184	0.994225217	0.962721342	1.000966184	2	1	0	mixed
candidate-conservative	control-disabled	cilium_socket_lb_service_select	native	LDR	LDR:2	1.003039514	1.003039514	1.003039514	1.003039514	1.003039514	1.003039514	0	3	0	all_slower
candidate-conservative	control-disabled	csel_select64	kernel	EXTR,LDR	EXTR:1,LDR:4	0.586206897	0.607142857	0.607142857	0.607142857	0.586206897	0.607142857	3	0	0	all_faster
candidate-conservative	control-disabled	csel_select64	native	EXTR,LDR	EXTR:1,LDR:4	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	flow_5tuple_rss_hash	kernel	EXTR	EXTR:14	0.812500000	0.791666667	0.791666667	0.791666667	0.791666667	0.812500000	3	0	0	all_faster
candidate-conservative	control-disabled	flow_5tuple_rss_hash	native	EXTR	EXTR:14	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	flow_record_field_scan	kernel			1.037634409	1.000000000	1.000000000	1.000000000	1.000000000	1.037634409	0	1	2	mixed
candidate-conservative	control-disabled	flow_record_field_scan	native			1.037383178	1.000000000	1.000000000	1.000000000	1.000000000	1.037383178	0	1	2	mixed
candidate-conservative	control-disabled	katran_lb_consistent_hash_select	kernel	EXTR,LDR	EXTR:24,LDR:7	0.983606557	0.934426230	0.918032787	0.934426230	0.918032787	0.983606557	3	0	0	all_faster
candidate-conservative	control-disabled	katran_lb_consistent_hash_select	native	EXTR,LDR	EXTR:24,LDR:7	1.074074074	1.074074074	0.964285714	1.074074074	0.964285714	1.074074074	1	2	0	mixed
candidate-conservative	control-disabled	ldp_stack_pair	kernel	EXTR,LDR	EXTR:1,LDR:2	1.000000000	1.000000000	0.952380952	1.000000000	0.952380952	1.000000000	1	0	2	mixed
candidate-conservative	control-disabled	ldp_stack_pair	native	EXTR,LDR	EXTR:1,LDR:2	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	otel_stack_frame_unwind_scan	kernel	LDR	LDR:2	0.997375328	1.002617801	0.997375328	0.997375328	0.997375328	1.002617801	2	1	0	mixed
candidate-conservative	control-disabled	otel_stack_frame_unwind_scan	native	LDR	LDR:2	1.000000000	1.008620690	1.000000000	1.000000000	1.000000000	1.008620690	0	1	2	mixed
candidate-conservative	control-disabled	packed_header_bitfield_decode	kernel	LDR	LDR:2	0.996794872	0.995731057	0.995740149	0.995740149	0.995731057	0.996794872	3	0	0	all_faster
candidate-conservative	control-disabled	packed_header_bitfield_decode	native	LDR	LDR:2	1.005976096	0.998007968	1.003976143	1.003976143	0.998007968	1.005976096	1	2	0	mixed
candidate-conservative	control-disabled	packet_checksum_fold	kernel	LDR	LDR:3	0.995687575	1.042345967	0.998395592	0.998395592	0.995687575	1.042345967	2	1	0	mixed
candidate-conservative	control-disabled	packet_checksum_fold	native	LDR	LDR:3	0.996152674	1.045644426	0.999961645	0.999961645	0.996152674	1.045644426	2	1	0	mixed
candidate-conservative	control-disabled	packet_record_bounds_window	kernel	LDR	LDR:8	0.586005831	0.576023392	0.587209302	0.586005831	0.576023392	0.587209302	3	0	0	all_faster
candidate-conservative	control-disabled	packet_record_bounds_window	native	LDR	LDR:8	1.006756757	1.000000000	0.993288591	1.000000000	0.993288591	1.006756757	1	1	1	mixed
candidate-conservative	control-disabled	packet_toeplitz_rss_hash	kernel			1.120253165	1.096234310	0.998087954	1.096234310	0.998087954	1.120253165	1	2	0	mixed
candidate-conservative	control-disabled	packet_toeplitz_rss_hash	native			1.029490617	0.997333333	0.994708995	0.997333333	0.994708995	1.029490617	2	1	0	mixed
candidate-conservative	control-disabled	packet_vlan_tcpopt_parser	kernel			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	packet_vlan_tcpopt_parser	native			0.947368421	1.000000000	0.947368421	0.947368421	0.947368421	1.000000000	2	0	1	mixed
candidate-conservative	control-disabled	payload_prefix_memcmp_scan	kernel	EXTR,LDR	EXTR:2,LDR:1	1.024475524	1.024475524	1.017361111	1.024475524	1.017361111	1.024475524	0	3	0	all_slower
candidate-conservative	control-disabled	payload_prefix_memcmp_scan	native	EXTR,LDR	EXTR:2,LDR:1	1.000000000	0.994082840	1.005952381	1.000000000	0.994082840	1.005952381	1	1	1	mixed
candidate-conservative	control-disabled	simple	kernel			1.071428571	0.937500000	0.866666667	0.937500000	0.866666667	1.071428571	2	1	0	mixed
candidate-conservative	control-disabled	simple	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	simple_packet	kernel			1.000000000	1.000000000	0.928571429	1.000000000	0.928571429	1.000000000	1	0	2	mixed
candidate-conservative	control-disabled	simple_packet	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	siphash_rotate64_mixer	kernel	EXTR,LDR	EXTR:116,LDR:8	0.525000000	0.518518519	0.525000000	0.525000000	0.518518519	0.525000000	3	0	0	all_faster
candidate-conservative	control-disabled	siphash_rotate64_mixer	native	EXTR,LDR	EXTR:116,LDR:8	1.000000000	0.977777778	1.000000000	1.000000000	0.977777778	1.000000000	1	0	2	mixed
candidate-conservative	control-disabled	sorted_rule_binary_search	kernel	LDR	LDR:2	1.005144033	1.003100775	0.998970664	1.003100775	0.998970664	1.005144033	1	2	0	mixed
candidate-conservative	control-disabled	sorted_rule_binary_search	native	LDR	LDR:2	1.002781641	1.000000000	1.000000000	1.000000000	1.000000000	1.002781641	0	1	2	mixed
candidate-conservative	control-disabled	stp_stack_pair	kernel			0.952380952	1.000000000	1.050000000	1.000000000	0.952380952	1.050000000	1	1	1	mixed
candidate-conservative	control-disabled	stp_stack_pair	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	tc_packet_checksum_fold	kernel	LDR	LDR:3	1.006133857	0.987452836	0.998334797	0.998334797	0.987452836	1.006133857	2	1	0	mixed
candidate-conservative	control-disabled	tc_packet_checksum_fold	native	LDR	LDR:3	0.979390715	0.989420196	0.999961678	0.989420196	0.979390715	0.999961678	3	0	0	all_faster
candidate-conservative	control-disabled	tetragon_process_event_arg_filter	kernel	LDR	LDR:2	0.996204934	1.020992366	1.009523810	1.009523810	0.996204934	1.020992366	1	2	0	mixed
candidate-conservative	control-disabled	tetragon_process_event_arg_filter	native	LDR	LDR:2	0.964912281	0.996376812	1.094545455	0.996376812	0.964912281	1.094545455	2	1	0	mixed
candidate-conservative	control-disabled	trace_event_type_switch_dispatch	kernel	LDR	LDR:2	0.890094980	0.925104022	0.982558140	0.925104022	0.890094980	0.982558140	3	0	0	all_faster
candidate-conservative	control-disabled	trace_event_type_switch_dispatch	native	LDR	LDR:2	1.003154574	0.995275591	0.975384615	0.995275591	0.975384615	1.003154574	2	1	0	mixed
candidate-conservative	control-disabled	tracee_http_method_prefix_detect	kernel	LDR	LDR:2	1.000000000	0.769230769	1.311475410	1.000000000	0.769230769	1.311475410	1	1	1	mixed
candidate-conservative	control-disabled	tracee_http_method_prefix_detect	native	LDR	LDR:2	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-conservative	control-disabled	tracee_syscall_name_table_lookup	kernel	LDR	LDR:1	0.933717579	1.008474576	0.979041916	0.979041916	0.933717579	1.008474576	2	1	0	mixed
candidate-conservative	control-disabled	tracee_syscall_name_table_lookup	native	LDR	LDR:1	0.988549618	0.984790875	1.000000000	0.988549618	0.984790875	1.000000000	2	0	1	mixed
candidate-expanded	control-disabled	arm64_direct_abi_coverage	kernel	EXTR,LDR	EXTR:1,LDR:4	0.950000000	0.950000000	0.950000000	0.950000000	0.950000000	0.950000000	3	0	0	all_faster
candidate-expanded	control-disabled	arm64_direct_abi_coverage	native	EXTR,LDR	EXTR:1,LDR:4	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-expanded	control-disabled	bcc_runqlat_log2_histogram_bucket	kernel	LDR	LDR:2	0.998252185	1.006239082	0.997013440	0.998252185	0.997013440	1.006239082	2	1	0	mixed
candidate-expanded	control-disabled	bcc_runqlat_log2_histogram_bucket	native	LDR	LDR:2	0.999548533	1.000450450	1.008126411	1.000450450	0.999548533	1.008126411	1	2	0	mixed
candidate-expanded	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	kernel	EXTR,LDR	EXTR:1,LDR:2	0.981191223	0.981250000	0.984326019	0.981250000	0.981191223	0.984326019	3	0	0	all_faster
candidate-expanded	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	native	EXTR,LDR	EXTR:1,LDR:2	1.000000000	1.113333333	1.000000000	1.000000000	1.000000000	1.113333333	0	1	2	mixed
candidate-expanded	control-disabled	bitmap_popcount_scan	kernel	LDR	LDR:2	1.006996065	0.998251748	1.000000000	1.000000000	0.998251748	1.006996065	1	1	1	mixed
candidate-expanded	control-disabled	bitmap_popcount_scan	native	LDR	LDR:2	0.998142415	1.000000000	0.999379653	0.999379653	0.998142415	1.000000000	2	0	1	mixed
candidate-expanded	control-disabled	bpf_local_call_fanout_dispatch	kernel	LDR	LDR:3	0.929230769	0.901492537	0.929230769	0.929230769	0.901492537	0.929230769	3	0	0	all_faster
candidate-expanded	control-disabled	bpf_local_call_fanout_dispatch	native	LDR	LDR:3	1.008695652	1.000000000	1.008771930	1.008695652	1.000000000	1.008771930	0	2	1	mixed
candidate-expanded	control-disabled	bpftrace_comm_key_fnv_hash	kernel	LDR	LDR:2	1.005434783	1.004828002	0.998792271	1.004828002	0.998792271	1.005434783	1	2	0	mixed
candidate-expanded	control-disabled	bpftrace_comm_key_fnv_hash	native	LDR	LDR:2	1.007770008	0.998448410	1.000777605	1.000777605	0.998448410	1.007770008	1	2	0	mixed
candidate-expanded	control-disabled	bpftrace_string_search_prefix_scan	kernel	EXTR,LDR	EXTR:1,LDR:1	1.030947776	1.041015625	1.026974952	1.030947776	1.026974952	1.041015625	0	3	0	all_slower
candidate-expanded	control-disabled	bpftrace_string_search_prefix_scan	native	EXTR,LDR	EXTR:1,LDR:1	0.997167139	1.110481586	0.997175141	0.997175141	0.997167139	1.110481586	2	1	0	mixed
candidate-expanded	control-disabled	ccmp_all_nonzero	kernel			1.058823529	1.000000000	1.000000000	1.000000000	1.000000000	1.058823529	0	1	2	mixed
candidate-expanded	control-disabled	ccmp_all_nonzero	native			0.833333333	1.000000000	1.000000000	1.000000000	0.833333333	1.000000000	1	0	2	mixed
candidate-expanded	control-disabled	cgroup_skb_hash_chain	kernel	LDR	LDR:2	0.969387755	0.999044890	0.999037536	0.999037536	0.969387755	0.999044890	3	0	0	all_faster
candidate-expanded	control-disabled	cgroup_skb_hash_chain	native	LDR	LDR:2	1.037122970	0.942222222	1.000000000	1.000000000	0.942222222	1.037122970	1	1	1	mixed
candidate-expanded	control-disabled	cilium_ct_nat_tuple_rewrite	kernel	EXTR,LDR	EXTR:1,LDR:2	0.955789474	1.044210526	0.949685535	0.955789474	0.949685535	1.044210526	2	1	0	mixed
candidate-expanded	control-disabled	cilium_ct_nat_tuple_rewrite	native	EXTR,LDR	EXTR:1,LDR:2	1.005076142	1.005076142	1.000000000	1.005076142	1.000000000	1.005076142	0	2	1	mixed
candidate-expanded	control-disabled	cilium_policy_guard_tree_filter	kernel	LDR	LDR:1	1.000000000	1.004098361	0.979919679	1.000000000	0.979919679	1.004098361	1	1	1	mixed
candidate-expanded	control-disabled	cilium_policy_guard_tree_filter	native	LDR	LDR:1	1.008130081	1.024590164	1.032258065	1.024590164	1.008130081	1.032258065	0	3	0	all_slower
candidate-expanded	control-disabled	cilium_socket_lb_service_select	kernel	LDR	LDR:2	0.961789376	0.993262753	0.998067633	0.993262753	0.961789376	0.998067633	3	0	0	all_faster
candidate-expanded	control-disabled	cilium_socket_lb_service_select	native	LDR	LDR:2	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-expanded	control-disabled	csel_select64	kernel	CSEL,EXTR,LDR	CSEL:4,EXTR:1,LDR:4	0.620689655	0.607142857	0.607142857	0.607142857	0.607142857	0.620689655	3	0	0	all_faster
candidate-expanded	control-disabled	csel_select64	native	CSEL,EXTR,LDR	CSEL:4,EXTR:1,LDR:4	1.250000000	1.000000000	1.000000000	1.000000000	1.000000000	1.250000000	0	1	2	mixed
candidate-expanded	control-disabled	flow_5tuple_rss_hash	kernel	EXTR	EXTR:14	0.791666667	0.791666667	0.791666667	0.791666667	0.791666667	0.791666667	3	0	0	all_faster
candidate-expanded	control-disabled	flow_5tuple_rss_hash	native	EXTR	EXTR:14	1.000000000	1.055555556	1.000000000	1.000000000	1.000000000	1.055555556	0	1	2	mixed
candidate-expanded	control-disabled	flow_record_field_scan	kernel			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-expanded	control-disabled	flow_record_field_scan	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
candidate-expanded	control-disabled	katran_lb_consistent_hash_select	kernel	EXTR,LDR	EXTR:24,LDR:7	0.918032787	0.918032787	0.918032787	0.918032787	0.918032787	0.918032787	3	0	0	all_faster
