benchmark	runtime	sample_index	inner_repeat	exec_ns	result	expected_result	passed	retval	bpf_bytecode_bytes	native_code_bytes	jited_prog_len	xlated_prog_len
tracee_http_method_prefix_detect	native	0	10000	38	11562433829591280482	11562433829591280482	True	2	0	708		
tracee_http_method_prefix_detect	kernel	0	10000	61	11562433829591280482	11562433829591280482	True	2	1432	1064	1064	1432
cilium_socket_lb_service_select	native	0	10000	328	2868565165525030065	2868565165525030065	True	2	0	348		
cilium_socket_lb_service_select	kernel	0	10000	1037	2868565165525030065	2868565165525030065	True	2	1888	1112	1112	1888
bcc_tcpconnect_ipv4_tuple_filter	native	0	10000	152	18109187572642697766	18109187572642697766	True	2	0	424		
bcc_tcpconnect_ipv4_tuple_filter	kernel	0	10000	315	18109187572642697766	18109187572642697766	True	2	1656	1000	1000	1656
tetragon_process_event_arg_filter	native	0	10000	276	12641586655603153431	12641586655603153431	True	2	0	700		
tetragon_process_event_arg_filter	kernel	0	10000	523	12641586655603153431	12641586655603153431	True	2	2120	1304	1304	2120
otel_stack_frame_unwind_scan	native	0	10000	119	12043289854646947360	12043289854646947360	True	2	0	388		
otel_stack_frame_unwind_scan	kernel	0	10000	381	12043289854646947360	12043289854646947360	True	2	1848	1088	1088	1848
cilium_ct_nat_tuple_rewrite	native	0	10000	199	14199193300769829204	14199193300769829204	True	2	0	364		
cilium_ct_nat_tuple_rewrite	kernel	0	10000	479	14199193300769829204	14199193300769829204	True	2	1680	1008	1008	1680
packet_toeplitz_rss_hash	native	0	10000	393	13526464303109995596	13526464303109995596	True	2	0	796		
packet_toeplitz_rss_hash	kernel	0	10000	474	13526464303109995596	13526464303109995596	True	2	1696	1120	1120	1696
bpftrace_comm_key_fnv_hash	native	0	10000	1289	8524536671075880526	8524536671075880526	True	2	0	672		
bpftrace_comm_key_fnv_hash	kernel	0	10000	1656	8524536671075880526	8524536671075880526	True	2	1944	1144	1144	1944
tc_packet_checksum_fold	native	0	10000	26570	0	0	True	0	0	228		
tc_packet_checksum_fold	kernel	0	10000	33332	0	0	True	0	584	392	392	584
cgroup_skb_hash_chain	native	0	10000	430	12027228624407116210	12027228624407116210	True	1	0	312		
cgroup_skb_hash_chain	kernel	0	10000	1055	12027228624407116210	12027228624407116210	True	1	928	640	640	928
