title,matched_title,venue,year,status,file,source,resolved_url,note
FlexGuard,FlexGuard: Fast Mutual Exclusion Independent of Subscription,SOSP'25,2025,downloaded,docs/reference/papers/54-flexguard.pdf,openalex,https://hal.science/hal-05241781v2/file/flexguard-sosp25.pdf,
gpu_ext,gpu_ext: Extensible OS Policies for GPUs via eBPF,arXiv'25,2025,downloaded,docs/reference/papers/55-gpu-ext.pdf,openalex,https://arxiv.org/pdf/2512.12615,
Pairwise BPF Programs Should Be Optimized Together,Pairwise BPF Programs Should Be Optimized Together,eBPF Workshop'25,2025,downloaded,docs/reference/papers/56-pairwise-bpf-programs-should-be-optimized-together.pdf,openalex,https://vtechworks.lib.vt.edu/server/api/core/bitstreams/1080f469-3a5e-43fe-a5a2-bf9faa72c6e1/content,
Kernel Extension DSLs Should Be Verifier-Safe,Kernel Extension DSLs Should Be Verifier-Safe,eBPF Workshop'25,2025,downloaded,docs/reference/papers/57-kernel-extension-dsls-should-be-verifier-safe.pdf,manual,https://cs.brown.edu/people/acrotty/pubs/3748355.3748368.pdf,
Automatic Synthesis of Abstract Operators for eBPF,Automatic Synthesis of Abstract Operators for eBPF,eBPF Workshop'25,2025,downloaded,docs/reference/papers/58-automatic-synthesis-of-abstract-operators-for-ebpf.pdf,manual,https://people.cs.rutgers.edu/~sn349/papers/vayu-ebpf-2025.pdf,
No Two Snowflakes Are Alike,No Two Snowflakes Are Alike,eBPF Workshop'25,2025,downloaded,docs/reference/papers/59-no-two-snowflakes-are-alike.pdf,manual,https://dsr-haslab.github.io/assets/files/2025/snowflakes-ebpf25-cmachado.pdf,
SchedBPF: Scheduling BPF programs,SchedBPF - Scheduling BPF programs,eBPF Workshop'25,2025,downloaded,docs/reference/papers/60-schedbpf-scheduling-bpf-programs.pdf,openalex,https://vtechworks.lib.vt.edu/server/api/core/bitstreams/4dc01e42-93c4-4d57-adfb-bab1a148578d/content,
A Memory Pool Allocator for eBPF Applications,A Memory Pool Allocator for eBPF Applications,eBPF Workshop'25,2025,downloaded,docs/reference/papers/61-a-memory-pool-allocator-for-ebpf-applications.pdf,manual,https://gyuyeongkim.github.io/papers/kerby_ebpf25.pdf,
eBPFML,,eBPF Workshop'25,2025,missing,,,,
ChainIO,,eBPF Workshop'25,2025,missing,,,,
Evaluation of tail call costs,Evaluation of tail call costs,LPC'20 (Cloudflare),2020,downloaded,docs/reference/papers/64-evaluation-of-tail-call-costs.pdf,manual,https://lpc.events/event/7/contributions/676/attachments/512/1000/paper.pdf,
Understanding Performance of eBPF Maps,,SIGCOMM eBPF Workshop'24,2024,missing,,,,
An Empirical Study on the Challenges of eBPF Application Development,,SIGCOMM eBPF Workshop'24,2024,missing,,,,
Understanding performance of eBPF-based applications,Understanding performance of eBPF-based applications,ETH Zurich 学期论文'24,2024,downloaded,docs/reference/papers/67-understanding-performance-of-ebpf-based-applications.pdf,manual,https://nsg.ee.ethz.ch/files/public/theses/2024-benchmarking_ebpf_programs/thesis-1.pdf,
Towards eBPF Overhead Quantification,,ICPE'25,2025,missing,,,,
Eliminating eBPF Tracing Overhead on Untraced Processes,Eliminating eBPF Tracing Overhead on Untraced Processes,SIGCOMM eBPF Workshop'24,2024,downloaded,docs/reference/papers/69-eliminating-ebpf-tracing-overhead-on-untraced-processes.pdf,openalex,https://vtechworks.lib.vt.edu/server/api/core/bitstreams/986b816c-3acc-4fcb-b264-a56d943ad942/content,
FOSDEM 2025: Performance evaluation of eBPF verifier,FOSDEM 2025: Performance evaluation of eBPF verifier,FOSDEM'25,2025,downloaded,docs/reference/papers/70-fosdem-2025-performance-evaluation-of-ebpf-verifier.pdf,manual,https://archive.fosdem.org/2025/events/attachments/fosdem-2025-6453-performance-evaluation-of-the-linux-kernel-ebpf-verifier/slides/238217/eBPF_fosd_bqqGJyz.pdf,
Benchmarking DTrace vs eBPF,,AsiaBSDCon'24,2024,missing,,,,
eBPF-Based Instrumentation for Degradation Diagnosis,eBPF-Based Instrumentation for Generalisable Diagnosis of Performance Degradation,arXiv'25,2025,downloaded,docs/reference/papers/72-ebpf-based-instrumentation-for-degradation-diagnosis.pdf,openalex,https://arxiv.org/pdf/2505.13160,
The eBPF Runtime in the Linux Kernel,The eBPF Runtime in the Linux Kernel,arXiv'24,2024,downloaded,docs/reference/papers/73-the-ebpf-runtime-in-the-linux-kernel.pdf,openalex,https://arxiv.org/pdf/2410.00026,
