flow_5tuple_rss_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
flow_5tuple_rss_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_rorxl
flow_record_field_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
flow_record_field_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
katran_lb_consistent_hash_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
katran_lb_consistent_hash_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movzwl
katran_lb_consistent_hash_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movbe16
katran_lb_consistent_hash_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_rorxl
katran_lb_consistent_hash_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_bswapl
katran_lb_consistent_hash_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_rolw
katran_lb_consistent_hash_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
otel_stack_frame_unwind_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
otel_stack_frame_unwind_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
packed_header_bitfield_decode.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
packed_header_bitfield_decode.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
packed_header_bitfield_decode.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
packet_checksum_fold.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
packet_checksum_fold.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
packet_checksum_fold.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movzwl
packet_record_bounds_window.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
packet_record_bounds_window.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
packet_record_bounds_window.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movzwl
packet_toeplitz_rss_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
packet_toeplitz_rss_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movbe16
packet_toeplitz_rss_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movbe32
packet_toeplitz_rss_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
