dataset,root,app,workload,sample_index,metric,unit,baseline,post,ratio_post_over_baseline,bpf_stats,samples,workload_seconds,generated_at
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:sigfd:ops_total_per_s,ops/s,166516.26666666666,159755.86666666667,0.9594009634293987,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:cap:ops_s,ops/s,68171.94,64855.49,0.9513516851654801,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:cap:ops_total_per_s,ops/s,68171.9,64855.566666666666,0.9513533679810402,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:eventfd:ops_s,ops/s,39024.55,34687.82,0.8888717486812787,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:eventfd:ops_total_per_s,ops/s,39024.86666666667,34688.1,0.8888717108578632,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:futex:ops_s,ops/s,83016.62,82809.98,0.9975108598736012,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:futex:ops_total_per_s,ops/s,83017.33333333333,82810.4,0.9975073478630968,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:kill:ops_s,ops/s,28899.83,30034.67,1.0392680510577397,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:kill:ops_total_per_s,ops/s,28900.133333333335,30035.4,1.0392824023879936,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:prctl:ops_s,ops/s,296.26,309.83,1.0458043610342267,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:prctl:ops_total_per_s,ops/s,296.26666666666665,309.8333333333333,1.0457920792079207,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:set:ops_s,ops/s,5673.79,5203.53,0.91711712981975,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:set:ops_total_per_s,ops/s,5673.8,5203.533333333334,0.9171161009082685,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:sigfd:ops_s,ops/s,172117.73,165441.01,0.9612084124046953,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,2,workload:stress:sigfd:ops_total_per_s,ops/s,172119.73333333334,165442.13333333333,0.9612037511871581,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:eventfd:ops_s,ops/s,63339.73,11387.89,0.17979063061999156,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:eventfd:ops_total_per_s,ops/s,63340.4,11388.0,0.1797904654849038,True,3,30.0,2026-05-25T04:21:56.848145+00:00
