arch	case	variant	samples	mean_exec_ns	median_exec_ns	stdev_exec_ns	cv_exec_ns	treatment_control_mean	treatment_control_median	native_bytes	bpf_bytes	mean_cycles	mean_task_clock_ns	mean_wall_exec_ns	result	retval	result_dir	instance_id	perf_error
arm64	prefetch_pipeline_degree_page_stride	l2keep	7	22744.428571	22202.000000	1518.478280	0.066763	1.052795	1.025970	1528	2528	54341026.857143	22829095.285714		13849133591390902369	2	aws_arm64_micro_20260603_002356_463384	i-09c003b7d31b96d3a	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon1_page_stride	l2strm	7	19084.714286	19105.000000	117.414812	0.006152	1.045345	1.017306	1360	2184	47629758.571429	19157795.000000		8200235001385007165	2	aws_arm64_micro_20260603_003146_747479	i-010d3f103194df746	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon2_page_stride	l2strm	7	19743.857143	19418.000000	1019.934382	0.051658	0.999053	0.982742	1408	2304	48293774.714286	19823782.142857		12113551532357501091	2	aws_arm64_micro_20260603_003146_747479	i-010d3f103194df746	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon4_page_stride	l2strm	7	17979.571429	17954.000000	135.056602	0.007512	0.980974	0.979754	1328	2216	44886372.000000	18064180.285714		12596034509844469521	2	aws_arm64_micro_20260603_003146_747479	i-010d3f103194df746	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_degree_page_stride	l2strm	7	21979.000000	21853.000000	515.038186	0.023433	1.017365	1.009843	1528	2528	54435509.571429	22059303.000000		13849133591390902369	2	aws_arm64_micro_20260603_003146_747479	i-010d3f103194df746	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon1_page_stride	control	7	9491.714286	9504.000000	36.980690	0.003896	1.000000	1.000000	1081	2168		9642671.000000	62683.000000	8200235001385007165	2	aws_x86_micro_20260603_004208_489943	i-01a99d0c5f0553821	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon2_page_stride	control	7	10145.571429	10137.000000	44.211074	0.004358	1.000000	1.000000	1156	2288		10294903.857143	64128.000000	12113551532357501091	2	aws_x86_micro_20260603_004208_489943	i-01a99d0c5f0553821	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon4_page_stride	control	7	9705.000000	9692.000000	63.142696	0.006506	1.000000	1.000000	1126	2200		9853457.142857	66986.000000	12596034509844469521	2	aws_x86_micro_20260603_004208_489943	i-01a99d0c5f0553821	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_degree_page_stride	control	7	10975.000000	10836.000000	396.074909	0.036089	1.000000	1.000000	1238	2480		11117178.714286	71286.000000	13849133591390902369	2	aws_x86_micro_20260603_004208_489943	i-01a99d0c5f0553821	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon1_page_stride	t0	7	9510.000000	9550.000000	139.846344	0.014705	1.001926	1.004840	1085	2184		9645247.857143	65560.857143	8200235001385007165	2	aws_x86_micro_20260603_005048_125780	i-0df0babdbbf66e68b	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon2_page_stride	t0	7	10147.857143	9988.000000	316.001808	0.031140	1.000225	0.985301	1159	2304		10310884.142857	64145.857143	12113551532357501091	2	aws_x86_micro_20260603_005048_125780	i-0df0babdbbf66e68b	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon4_page_stride	t0	7	9627.142857	9613.000000	59.389754	0.006169	0.991978	0.991849	1130	2216		9780652.285714	69856.571429	12596034509844469521	2	aws_x86_micro_20260603_005048_125780	i-0df0babdbbf66e68b	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_degree_page_stride	t0	7	15868.428571	11437.000000	9887.586913	0.623098	1.445870	1.055463	1248	2528		16045052.428571	72947.000000	13849133591390902369	2	aws_x86_micro_20260603_005048_125780	i-0df0babdbbf66e68b	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon1_page_stride	t1	7	9574.285714	9542.000000	134.883548	0.014088	1.008699	1.003998	1085	2184		9821466.428571	65556.714286	8200235001385007165	2	aws_x86_micro_20260603_005810_555037	i-071aba17e7775ab79	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon2_page_stride	t1	7	9958.000000	9958.000000	86.218714	0.008658	0.981512	0.982342	1159	2304		10112932.142857	69869.857143	12113551532357501091	2	aws_x86_micro_20260603_005810_555037	i-071aba17e7775ab79	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon4_page_stride	t1	7	9738.714286	9611.000000	386.501278	0.039687	1.003474	0.991643	1130	2216		9894327.285714	69844.285714	12596034509844469521	2	aws_x86_micro_20260603_005810_555037	i-071aba17e7775ab79	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_degree_page_stride	t1	7	10939.428571	10919.000000	87.016966	0.007954	0.996759	1.007660	1248	2528		11087895.571429	65589.285714	13849133591390902369	2	aws_x86_micro_20260603_005810_555037	i-071aba17e7775ab79	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon1_page_stride	t2	7	9474.714286	9474.000000	141.296042	0.014913	0.998209	0.996843	1085	2184		9637170.000000	72645.000000	8200235001385007165	2	aws_x86_micro_20260603_010552_992793	i-09f2ec9645114bedd	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon2_page_stride	t2	7	10553.714286	10045.000000	1362.355890	0.129088	1.040229	0.990924	1159	2304		10777203.142857	70132.142857	12113551532357501091	2	aws_x86_micro_20260603_010552_992793	i-09f2ec9645114bedd	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon4_page_stride	t2	7	22764.428571	12742.000000	22617.276530	0.993536	2.345639	1.314693	1130	2216		24597450.285714	86197.142857	12596034509844469521	2	aws_x86_micro_20260603_010552_992793	i-09f2ec9645114bedd	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_degree_page_stride	t2	7	11479.571429	11165.000000	632.578021	0.055105	1.045975	1.030362	1248	2528		11669528.857143	69856.142857	13849133591390902369	2	aws_x86_micro_20260603_010552_992793	i-09f2ec9645114bedd	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon1_page_stride	nta	7	27950.571429	27940.000000	464.981669	0.016636	2.944734	2.939815	1085	2184		28098507.285714	89844.857143	8200235001385007165	2	aws_x86_micro_20260603_011322_532995	i-0d53dc08e35a3a242	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon2_page_stride	nta	7	24287.714286	24284.000000	188.825064	0.007775	2.393923	2.395581	1159	2304		24431181.857143	74158.857143	12113551532357501091	2	aws_x86_micro_20260603_011322_532995	i-0d53dc08e35a3a242	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_horizon4_page_stride	nta	7	16318.571429	16158.000000	406.942607	0.024937	1.681460	1.667148	1130	2216		16466053.714286	69840.000000	12596034509844469521	2	aws_x86_micro_20260603_011322_532995	i-0d53dc08e35a3a242	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
x86	prefetch_pipeline_degree_page_stride	nta	7	17671.428571	17797.000000	281.645674	0.015938	1.610153	1.642396	1248	2528		17846424.142857	65547.571429	13849133591390902369	2	aws_x86_micro_20260603_011322_532995	i-0d53dc08e35a3a242	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
