group	compare_to	benchmark	runtime	affected_by_group_symbols	families	control_median_exec_ns	group_median_exec_ns	ratio
treatment-extr-rotate	control-disabled	tracee_syscall_name_table_lookup	native	no		259	259	1.0
treatment-ubfm-bextr	control-disabled	arm64_direct_abi_coverage	kernel	no		20	20	1.0
treatment-ubfm-bextr	control-disabled	bcc_runqlat_log2_histogram_bucket	kernel	yes	UBFM	4001	3954	0.9882529367658085
treatment-ubfm-bextr	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	kernel	yes	UBFM	320	319	0.996875
treatment-ubfm-bextr	control-disabled	bitmap_popcount_scan	kernel	yes	UBFM	2294	2304	1.004359197907585
treatment-ubfm-bextr	control-disabled	bpf_local_call_fanout_dispatch	kernel	no		325	325	1.0
treatment-ubfm-bextr	control-disabled	bpftrace_comm_key_fnv_hash	kernel	yes	UBFM	1656	1656	1.0
treatment-ubfm-bextr	control-disabled	bpftrace_string_search_prefix_scan	kernel	no		512	517	1.009765625
treatment-ubfm-bextr	control-disabled	ccmp_all_nonzero	kernel	no		17	17	1.0
treatment-ubfm-bextr	control-disabled	cgroup_skb_hash_chain	kernel	yes	UBFM	1039	1040	1.0009624639076036
treatment-ubfm-bextr	control-disabled	cilium_ct_nat_tuple_rewrite	kernel	no		474	474	1.0
treatment-ubfm-bextr	control-disabled	cilium_policy_guard_tree_filter	kernel	no		242	243	1.0041322314049588
treatment-ubfm-bextr	control-disabled	cilium_socket_lb_service_select	kernel	yes	UBFM	1037	1035	0.9980713596914176
treatment-ubfm-bextr	control-disabled	csel_select64	kernel	no		28	29	1.0357142857142858
treatment-ubfm-bextr	control-disabled	flow_5tuple_rss_hash	kernel	yes	UBFM	48	48	1.0
treatment-ubfm-bextr	control-disabled	flow_record_field_scan	kernel	yes	UBFM	186	186	1.0
treatment-ubfm-bextr	control-disabled	katran_lb_consistent_hash_select	kernel	yes	UBFM	61	61	1.0
treatment-ubfm-bextr	control-disabled	ldp_stack_pair	kernel	no		21	20	0.9523809523809523
treatment-ubfm-bextr	control-disabled	otel_stack_frame_unwind_scan	kernel	yes	UBFM	382	384	1.0052356020942408
treatment-ubfm-bextr	control-disabled	packed_header_bitfield_decode	kernel	yes	UBFM	937	921	0.9829242262540021
treatment-ubfm-bextr	control-disabled	packet_checksum_fold	kernel	no		33088	33164	1.002296905222437
treatment-ubfm-bextr	control-disabled	packet_record_bounds_window	kernel	no		343	343	1.0
treatment-ubfm-bextr	control-disabled	packet_toeplitz_rss_hash	kernel	no		525	523	0.9961904761904762
treatment-ubfm-bextr	control-disabled	packet_vlan_tcpopt_parser	kernel	yes	UBFM	45	46	1.0222222222222221
treatment-ubfm-bextr	control-disabled	payload_prefix_memcmp_scan	kernel	no		287	286	0.9965156794425087
treatment-ubfm-bextr	control-disabled	simple	kernel	no		15	15	1.0
treatment-ubfm-bextr	control-disabled	simple_packet	kernel	no		14	15	1.0714285714285714
treatment-ubfm-bextr	control-disabled	siphash_rotate64_mixer	kernel	no		160	160	1.0
treatment-ubfm-bextr	control-disabled	sorted_rule_binary_search	kernel	no		1943	1944	1.0005146680391148
treatment-ubfm-bextr	control-disabled	stp_stack_pair	kernel	no		21	21	1.0
treatment-ubfm-bextr	control-disabled	tc_packet_checksum_fold	kernel	no		33038	33037	0.9999697318239603
treatment-ubfm-bextr	control-disabled	tetragon_process_event_arg_filter	kernel	no		524	524	1.0
treatment-ubfm-bextr	control-disabled	trace_event_type_switch_dispatch	kernel	no		680	679	0.9985294117647059
treatment-ubfm-bextr	control-disabled	tracee_http_method_prefix_detect	kernel	no		61	66	1.0819672131147542
treatment-ubfm-bextr	control-disabled	tracee_syscall_name_table_lookup	kernel	no		344	326	0.9476744186046512
treatment-ubfm-bextr	control-disabled	arm64_direct_abi_coverage	native	no		7	7	1.0
treatment-ubfm-bextr	control-disabled	bcc_runqlat_log2_histogram_bucket	native	yes	UBFM	2215	2218	1.001354401805869
treatment-ubfm-bextr	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	native	yes	UBFM	150	149	0.9933333333333333
treatment-ubfm-bextr	control-disabled	bitmap_popcount_scan	native	yes	UBFM	1612	1612	1.0
treatment-ubfm-bextr	control-disabled	bpf_local_call_fanout_dispatch	native	no		115	115	1.0
treatment-ubfm-bextr	control-disabled	bpftrace_comm_key_fnv_hash	native	yes	UBFM	1288	1287	0.9992236024844721
treatment-ubfm-bextr	control-disabled	bpftrace_string_search_prefix_scan	native	no		352	353	1.0028409090909092
treatment-ubfm-bextr	control-disabled	ccmp_all_nonzero	native	no		5	5	1.0
treatment-ubfm-bextr	control-disabled	cgroup_skb_hash_chain	native	yes	UBFM	421	421	1.0
treatment-ubfm-bextr	control-disabled	cilium_ct_nat_tuple_rewrite	native	no		197	198	1.0050761421319796
treatment-ubfm-bextr	control-disabled	cilium_policy_guard_tree_filter	native	no		123	124	1.008130081300813
treatment-ubfm-bextr	control-disabled	cilium_socket_lb_service_select	native	yes	UBFM	329	329	1.0
treatment-ubfm-bextr	control-disabled	csel_select64	native	no		4	4	1.0
treatment-ubfm-bextr	control-disabled	flow_5tuple_rss_hash	native	yes	UBFM	18	18	1.0
treatment-ubfm-bextr	control-disabled	flow_record_field_scan	native	yes	UBFM	108	107	0.9907407407407407
treatment-ubfm-bextr	control-disabled	katran_lb_consistent_hash_select	native	yes	UBFM	27	27	1.0
treatment-ubfm-bextr	control-disabled	ldp_stack_pair	native	no		6	5	0.8333333333333334
treatment-ubfm-bextr	control-disabled	otel_stack_frame_unwind_scan	native	yes	UBFM	117	117	1.0
treatment-ubfm-bextr	control-disabled	packed_header_bitfield_decode	native	yes	UBFM	501	503	1.003992015968064
treatment-ubfm-bextr	control-disabled	packet_checksum_fold	native	no		26111	26191	1.003063842824863
treatment-ubfm-bextr	control-disabled	packet_record_bounds_window	native	no		148	148	1.0
treatment-ubfm-bextr	control-disabled	packet_toeplitz_rss_hash	native	no		372	377	1.0134408602150538
treatment-ubfm-bextr	control-disabled	packet_vlan_tcpopt_parser	native	yes	UBFM	19	19	1.0
treatment-ubfm-bextr	control-disabled	payload_prefix_memcmp_scan	native	no		169	169	1.0
treatment-ubfm-bextr	control-disabled	simple	native	no		4	4	1.0
treatment-ubfm-bextr	control-disabled	simple_packet	native	no		4	4	1.0
treatment-ubfm-bextr	control-disabled	siphash_rotate64_mixer	native	no		44	50	1.1363636363636365
treatment-ubfm-bextr	control-disabled	sorted_rule_binary_search	native	no		720	729	1.0125
treatment-ubfm-bextr	control-disabled	stp_stack_pair	native	no		5	5	1.0
treatment-ubfm-bextr	control-disabled	tc_packet_checksum_fold	native	no		26095	26091	0.9998467139298717
treatment-ubfm-bextr	control-disabled	tetragon_process_event_arg_filter	native	no		275	275	1.0
treatment-ubfm-bextr	control-disabled	trace_event_type_switch_dispatch	native	no		633	634	1.0015797788309637
treatment-ubfm-bextr	control-disabled	tracee_http_method_prefix_detect	native	no		39	38	0.9743589743589743
treatment-ubfm-bextr	control-disabled	tracee_syscall_name_table_lookup	native	no		259	260	1.0038610038610039
treatment-ldr-wide-load	control-disabled	arm64_direct_abi_coverage	kernel	no		20	20	1.0
treatment-ldr-wide-load	control-disabled	bcc_runqlat_log2_histogram_bucket	kernel	yes	LDR	4001	3974	0.9932516870782304
treatment-ldr-wide-load	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	kernel	yes	LDR	320	318	0.99375
treatment-ldr-wide-load	control-disabled	bitmap_popcount_scan	kernel	yes	LDR	2294	2286	0.9965126416739319
treatment-ldr-wide-load	control-disabled	bpf_local_call_fanout_dispatch	kernel	yes	LDR	325	303	0.9323076923076923
treatment-ldr-wide-load	control-disabled	bpftrace_comm_key_fnv_hash	kernel	yes	LDR	1656	1654	0.998792270531401
treatment-ldr-wide-load	control-disabled	bpftrace_string_search_prefix_scan	kernel	yes	LDR	512	532	1.0390625
treatment-ldr-wide-load	control-disabled	ccmp_all_nonzero	kernel	no		17	17	1.0
treatment-ldr-wide-load	control-disabled	cgroup_skb_hash_chain	kernel	yes	LDR	1039	1036	0.9971126082771896
treatment-ldr-wide-load	control-disabled	cilium_ct_nat_tuple_rewrite	kernel	yes	LDR	474	472	0.9957805907172996
treatment-ldr-wide-load	control-disabled	cilium_policy_guard_tree_filter	kernel	yes	LDR	242	245	1.012396694214876
treatment-ldr-wide-load	control-disabled	cilium_socket_lb_service_select	kernel	yes	LDR	1037	1091	1.052073288331726
